open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646173800000,43926.00,44197.80,43880.80,44128.30,4074.017,1646175599999,179537085.48776,51348,2052.002,90424805.27033,0
1646175600000,44128.20,44261.20,44025.10,44106.90,3801.899,1646177399999,167763578.78831,42213,1959.839,86497413.49871,0
1646177400000,44106.90,44500.00,44079.40,44394.10,6483.402,1646179199999,287370843.90139,72467,3577.448,158581468.19908,0
1646179200000,44393.60,44744.00,44113.80,44217.50,12281.851,1646180999999,545682586.78127,126714,5660.990,251621318.26441,0
1646181000000,44217.50,44285.30,43912.90,44259.00,7132.166,1646182799999,314538507.38180,79601,3525.866,155531614.55031,0
1646182800000,44258.90,44380.80,43823.30,43908.90,6840.050,1646184599999,301622418.54536,79460,3090.387,136280535.71797,0
1646184600000,43908.90,44053.70,43817.00,44011.30,5041.383,1646186399999,221498083.33880,55521,2573.803,113107744.00110,0
1646186400000,44011.30,44116.00,43850.70,44013.00,4771.749,1646188199999,209953623.19714,55780,2436.108,107196746.87270,0
1646188200000,44012.90,44295.40,43967.10,44212.20,4868.704,1646189999999,214792043.58786,55058,2652.747,117051756.47642,0
1646190000000,44212.30,44300.00,44063.90,44138.40,4235.236,1646191799999,187229536.87703,50625,2053.061,90772013.16118,0
1646191800000,44138.50,44543.10,44102.00,44319.00,8328.042,1646193599999,369710815.41972,89930,4630.275,205553504.12470,0
1646193600000,44320.30,44525.00,44224.20,44403.40,5691.141,1646195399999,252576315.59019,65778,2982.505,132381880.63227,0
1646195400000,44403.50,44513.10,44122.60,44235.10,4910.917,1646197199999,217654045.00440,54338,2135.907,94704186.20319,0
1646197200000,44235.00,44343.50,44055.80,44131.40,4509.325,1646198999999,199355286.78011,50296,2092.681,92548950.49908,0
1646199000000,44131.40,44294.50,44100.20,44260.00,2705.391,1646200799999,119590317.89302,36263,1452.879,64229506.13219,0
1646200800000,44260.00,44381.90,44061.20,44115.80,3957.415,1646202599999,174844589.88666,46846,1864.482,82389647.33915,0
1646202600000,44115.70,44141.70,43857.10,43920.00,5111.493,1646204399999,224921228.67133,60944,2149.697,94609103.16362,0
1646204400000,43920.10,43963.40,43646.00,43858.50,10589.210,1646206199999,463679487.61979,107219,5243.845,229639963.27310,0
1646206200000,43858.50,43965.00,43821.00,43963.00,4182.965,1646207999999,183606176.10382,51631,2175.801,95512993.23665,0
1646208000000,43962.80,44290.00,43728.80,44159.10,11326.271,1646209799999,498772155.53083,110802,5898.056,259784945.49777,0
1646209800000,44159.10,44230.00,43779.40,43830.00,6166.832,1646211599999,271252060.63313,70019,2613.321,114976423.99695,0
1646211600000,43830.10,43961.10,43739.50,43828.80,5506.221,1646213399999,241536514.46331,58197,2848.285,124959071.41939,0
1646213400000,43835.30,44150.00,43750.00,43900.00,9267.213,1646215199999,407265437.18248,91944,4805.857,211255769.04975,0
1646215200000,43900.00,44173.00,43846.00,44102.90,6046.912,1646216999999,266376310.72659,64434,3260.253,143656691.52132,0
1646217000000,44103.00,44344.50,44081.90,44135.90,6255.254,1646218799999,276494752.98374,70088,3142.005,138908494.91844,0
1646218800000,44134.90,44232.80,43966.00,44108.60,5603.078,1646220599999,247058801.41553,60238,2583.017,113917327.64653,0
1646220600000,44108.90,44204.60,44026.40,44099.80,3203.968,1646222399999,141332582.90869,40757,1704.260,75183113.20968,0
1646222400000,44099.90,44343.30,43866.00,43926.50,8790.017,1646224199999,387415885.51832,97264,4162.690,183565269.56739,0
1646224200000,43926.40,44093.70,43766.00,43992.40,8871.405,1646225999999,389531521.65625,88220,4367.706,191838683.32868,0
1646226000000,43992.30,44039.50,43500.00,43699.80,11523.575,1646227799999,503657255.08964,128153,5421.738,236978194.26462,0
